year,category,value,unit,scenario,figure_type
2043,Hanwha TotalEnergies,1.643618574174636,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2044,Hanwha TotalEnergies,1.4102549563909033,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2045,Hanwha TotalEnergies,1.175212463659086,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2046,Hanwha TotalEnergies,0.9401699709272687,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2047,Hanwha TotalEnergies,0.7051274781954516,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2048,Hanwha TotalEnergies,0.47008498546363436,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2049,Hanwha TotalEnergies,0.2350424927318172,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2050,Hanwha TotalEnergies,0.0,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2025,LG Chem,10.050786054717834,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2026,LG Chem,11.413666546215078,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2027,LG Chem,11.268929129504643,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2028,LG Chem,11.124191712794211,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2029,LG Chem,10.930445444495536,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2030,LG Chem,10.564179088416457,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2031,LG Chem,10.27158699936478,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2032,LG Chem,9.886685838827402,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2033,LG Chem,9.471304849592245,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2034,LG Chem,9.055923860357089,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2035,LG Chem,8.640542871121934,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2036,LG Chem,7.8067925402110765,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2037,LG Chem,6.970053856859681,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2038,LG Chem,6.131803897341201,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2039,LG Chem,5.25762235040293,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2040,LG Chem,4.380307536271332,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2041,LG Chem,3.9447833963988614,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2042,LG Chem,3.5061259893330625,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2043,LG Chem,3.067468582267264,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2044,LG Chem,2.631944442394792,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2045,LG Chem,2.1932870353289937,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2046,LG Chem,1.7546296282631946,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2047,LG Chem,1.315972221197396,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2048,LG Chem,0.8773148141315974,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2049,LG Chem,0.4386574070657987,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2050,LG Chem,0.0,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2025,Lotte Chemical,7.838367263992788,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2026,Lotte Chemical,8.91384884709732,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2027,Lotte Chemical,8.813575340602938,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2028,Lotte Chemical,8.713301834108554,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2029,Lotte Chemical,8.565270495515428,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2030,Lotte Chemical,8.255605625512208,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2031,Lotte Chemical,8.008229666141819,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2032,Lotte Chemical,7.705328401650489,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2033,Lotte Chemical,7.384093058381856,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2034,Lotte Chemical,7.06285771511322,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2035,Lotte Chemical,6.7416223718445885,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2036,Lotte Chemical,6.096840639672295,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2037,Lotte Chemical,5.449747861864976,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2038,Lotte Chemical,4.800557837181728,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2039,Lotte Chemical,4.116165585483363,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2040,Lotte Chemical,3.429320314961705,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2041,Lotte Chemical,3.0883506985241675,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2042,Lotte Chemical,2.7449280632633384,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2043,Lotte Chemical,2.4015054280025097,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2044,Lotte Chemical,2.060535811564973,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2045,Lotte Chemical,1.717113176304144,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2046,Lotte Chemical,1.3736905410433153,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2047,Lotte Chemical,1.0302679057824864,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2048,Lotte Chemical,0.6868452705216577,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2049,Lotte Chemical,0.34342263526082883,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2050,Lotte Chemical,0.0,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2025,S-Oil,2.086877749365097,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2026,S-Oil,2.381615585110374,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2027,S-Oil,2.363321758450887,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2028,S-Oil,2.3450279317914,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2029,S-Oil,2.3232229066410297,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2030,S-Oil,2.290700302578458,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2031,S-Oil,2.2647196016319215,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
