year,category,value,unit,figure_type
2026,shaheen_ncc_elec_flat_decoupled,0.0633696,billion_USD,line
2027,shaheen_ncc_elec_flat_decoupled,0.1244208,billion_USD,line
2028,shaheen_ncc_elec_flat_decoupled,0.1831536,billion_USD,line
2029,shaheen_ncc_elec_flat_decoupled,3.2187635199999995,billion_USD,line
2030,shaheen_ncc_elec_flat_decoupled,6.097958719999999,billion_USD,line
2031,shaheen_ncc_elec_flat_decoupled,8.93143636,billion_USD,line
2032,shaheen_ncc_elec_flat_decoupled,13.765631215,billion_USD,line
2033,shaheen_ncc_elec_flat_decoupled,18.5204816475,billion_USD,line
2034,shaheen_ncc_elec_flat_decoupled,23.1959876575,billion_USD,line
2035,shaheen_ncc_elec_flat_decoupled,27.792149245,billion_USD,line
2036,shaheen_ncc_elec_flat_decoupled,32.30896641,billion_USD,line
2037,shaheen_ncc_elec_flat_decoupled,36.7464391525,billion_USD,line
2038,shaheen_ncc_elec_flat_decoupled,43.1696693925,billion_USD,line
2039,shaheen_ncc_elec_flat_decoupled,49.478290575,billion_USD,line
2040,shaheen_ncc_elec_flat_decoupled,55.6723027,billion_USD,line
2041,shaheen_ncc_elec_flat_decoupled,61.7517057675,billion_USD,line
2042,shaheen_ncc_elec_flat_decoupled,67.7164997775,billion_USD,line
2043,shaheen_ncc_elec_flat_decoupled,73.56668473,billion_USD,line
2044,shaheen_ncc_elec_flat_decoupled,79.302260625,billion_USD,line
2045,shaheen_ncc_elec_flat_decoupled,84.9232274625,billion_USD,line
2046,shaheen_ncc_elec_flat_decoupled,90.4295852425,billion_USD,line
2047,shaheen_ncc_elec_flat_decoupled,95.821333965,billion_USD,line
2048,shaheen_ncc_elec_flat_decoupled,101.09847363,billion_USD,line
2049,shaheen_ncc_elec_flat_decoupled,106.2610042375,billion_USD,line
2050,shaheen_ncc_elec_flat_decoupled,111.3089257875,billion_USD,line
2025,shaheen_ncc_elec_rising_coupled,0.0,billion_USD,line
2026,shaheen_ncc_elec_rising_coupled,0.0633696,billion_USD,line
2027,shaheen_ncc_elec_rising_coupled,0.1244208,billion_USD,line
2028,shaheen_ncc_elec_rising_coupled,0.1831536,billion_USD,line
2029,shaheen_ncc_elec_rising_coupled,3.2187635199999995,billion_USD,line
2030,shaheen_ncc_elec_rising_coupled,6.097958719999999,billion_USD,line
2031,shaheen_ncc_elec_rising_coupled,8.93143636,billion_USD,line
2032,shaheen_ncc_elec_rising_coupled,13.765631215,billion_USD,line
2033,shaheen_ncc_elec_rising_coupled,18.5204816475,billion_USD,line
2034,shaheen_ncc_elec_rising_coupled,23.1959876575,billion_USD,line
2035,shaheen_ncc_elec_rising_coupled,27.792149245,billion_USD,line
2036,shaheen_ncc_elec_rising_coupled,32.30896641,billion_USD,line
2037,shaheen_ncc_elec_rising_coupled,36.7464391525,billion_USD,line
2038,shaheen_ncc_elec_rising_coupled,43.1696693925,billion_USD,line
2039,shaheen_ncc_elec_rising_coupled,49.478290575,billion_USD,line
2040,shaheen_ncc_elec_rising_coupled,55.6723027,billion_USD,line
2041,shaheen_ncc_elec_rising_coupled,61.7517057675,billion_USD,line
2042,shaheen_ncc_elec_rising_coupled,67.7164997775,billion_USD,line
2043,shaheen_ncc_elec_rising_coupled,73.56668473,billion_USD,line
2044,shaheen_ncc_elec_rising_coupled,79.302260625,billion_USD,line
2045,shaheen_ncc_elec_rising_coupled,84.9232274625,billion_USD,line
2046,shaheen_ncc_elec_rising_coupled,90.4295852425,billion_USD,line
2047,shaheen_ncc_elec_rising_coupled,95.821333965,billion_USD,line
2048,shaheen_ncc_elec_rising_coupled,101.09847363,billion_USD,line
2049,shaheen_ncc_elec_rising_coupled,106.2610042375,billion_USD,line
2050,shaheen_ncc_elec_rising_coupled,111.3089257875,billion_USD,line
2025,shaheen_ncc_elec_rising_decoupled,0.0,billion_USD,line
2026,shaheen_ncc_elec_rising_decoupled,0.0633696,billion_USD,line
2027,shaheen_ncc_elec_rising_decoupled,0.1244208,billion_USD,line
2028,shaheen_ncc_elec_rising_decoupled,0.1831536,billion_USD,line
2029,shaheen_ncc_elec_rising_decoupled,3.2187635199999995,billion_USD,line
2030,shaheen_ncc_elec_rising_decoupled,6.097958719999999,billion_USD,line
2031,shaheen_ncc_elec_rising_decoupled,8.93143636,billion_USD,line
2032,shaheen_ncc_elec_rising_decoupled,13.765631215,billion_USD,line
2033,shaheen_ncc_elec_rising_decoupled,18.5204816475,billion_USD,line
2034,shaheen_ncc_elec_rising_decoupled,23.1959876575,billion_USD,line
2035,shaheen_ncc_elec_rising_decoupled,27.792149245,billion_USD,line
2036,shaheen_ncc_elec_rising_decoupled,32.30896641,billion_USD,line
2037,shaheen_ncc_elec_rising_decoupled,36.7464391525,billion_USD,line
2038,shaheen_ncc_elec_rising_decoupled,43.1696693925,billion_USD,line
2039,shaheen_ncc_elec_rising_decoupled,49.478290575,billion_USD,line
2040,shaheen_ncc_elec_rising_decoupled,55.6723027,billion_USD,line
2041,shaheen_ncc_elec_rising_decoupled,61.7517057675,billion_USD,line
2042,shaheen_ncc_elec_rising_decoupled,67.7164997775,billion_USD,line
2043,shaheen_ncc_elec_rising_decoupled,73.56668473,billion_USD,line
2044,shaheen_ncc_elec_rising_decoupled,79.302260625,billion_USD,line
2045,shaheen_ncc_elec_rising_decoupled,84.9232274625,billion_USD,line
2046,shaheen_ncc_elec_rising_decoupled,90.4295852425,billion_USD,line
2047,shaheen_ncc_elec_rising_decoupled,95.821333965,billion_USD,line
2048,shaheen_ncc_elec_rising_decoupled,101.09847363,billion_USD,line
2049,shaheen_ncc_elec_rising_decoupled,106.2610042375,billion_USD,line
2050,shaheen_ncc_elec_rising_decoupled,111.3089257875,billion_USD,line
