year,category,value,unit,scenario,figure_type
2041,SK Geocentric,1.960286552409088,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2042,SK Geocentric,1.9189120364321928,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2043,SK Geocentric,1.8775375204552973,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2044,SK Geocentric,1.8364585367353796,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2045,SK Geocentric,1.7950840207584844,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2046,SK Geocentric,1.2007313395146113,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2047,SK Geocentric,1.157034740732102,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2048,SK Geocentric,0.7212087659374179,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2049,SK Geocentric,0.23358740884847776,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2050,SK Geocentric,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2025,HD Hyundai Chemical,3.472213629032109,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2026,HD Hyundai Chemical,2.700354838356542,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2027,HD Hyundai Chemical,2.649915132703984,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2028,HD Hyundai Chemical,2.5994754270514258,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2029,HD Hyundai Chemical,2.549035721398868,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2030,HD Hyundai Chemical,2.49859601574631,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2031,HD Hyundai Chemical,2.4583022278974274,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2032,HD Hyundai Chemical,2.418008440048545,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2033,HD Hyundai Chemical,2.377714652199663,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2034,HD Hyundai Chemical,2.3374208643507806,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2035,HD Hyundai Chemical,2.0491087919205713,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2036,HD Hyundai Chemical,1.9662005565175926,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2037,HD Hyundai Chemical,1.8829951589805534,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2038,HD Hyundai Chemical,1.8000869235775747,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2039,HD Hyundai Chemical,1.717178688174596,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2040,HD Hyundai Chemical,0.9941718240291205,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2041,HD Hyundai Chemical,0.9501300270750913,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2042,HD Hyundai Chemical,0.9057713826609614,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2043,HD Hyundai Chemical,0.8614127382468312,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2044,HD Hyundai Chemical,0.8173709412928021,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2045,HD Hyundai Chemical,0.7730122968786721,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2046,HD Hyundai Chemical,0.7286536524645421,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2047,HD Hyundai Chemical,0.6842950080504121,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2048,HD Hyundai Chemical,0.24609295364147782,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2049,HD Hyundai Chemical,0.08317590938916611,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2050,HD Hyundai Chemical,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2025,Daehan Oil Chemical,2.701027810132496,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2026,Daehan Oil Chemical,3.0881772207045537,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2027,Daehan Oil Chemical,3.0701724597567375,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2028,Daehan Oil Chemical,1.7148512154077176,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2029,Daehan Oil Chemical,1.6895158684006935,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2030,Daehan Oil Chemical,1.6641805213936691,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2031,Daehan Oil Chemical,1.6439413648765635,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2032,Daehan Oil Chemical,1.6237022083594579,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2033,Daehan Oil Chemical,1.6034630518423523,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2034,Daehan Oil Chemical,1.5832238953252467,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2035,Daehan Oil Chemical,1.3408333918825357,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2036,Daehan Oil Chemical,1.2983904958256847,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2037,Daehan Oil Chemical,1.2557954746933608,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2038,Daehan Oil Chemical,1.2133525786365096,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2039,Daehan Oil Chemical,1.1709096825796583,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2040,Daehan Oil Chemical,1.1283146614473343,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2041,Daehan Oil Chemical,1.1071692759566452,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2042,Daehan Oil Chemical,1.0858717653904832,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2043,Daehan Oil Chemical,1.0645742548243213,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2044,Daehan Oil Chemical,1.043428869333632,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2045,Daehan Oil Chemical,1.02213135876747,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2046,Daehan Oil Chemical,1.0008338482013082,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2047,Daehan Oil Chemical,0.1611991299492217,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2048,Daehan Oil Chemical,0.12276801723188746,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2049,Daehan Oil Chemical,0.07503969917948744,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2050,Daehan Oil Chemical,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2025,S-Oil,2.086877749365097,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2026,S-Oil,2.381615585110374,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2027,S-Oil,2.363321758450887,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2028,S-Oil,2.3450279317914,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2029,S-Oil,2.326734105131913,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2030,S-Oil,2.308440278472426,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2031,S-Oil,2.2938262445318016,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2032,S-Oil,2.2792122105911767,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2033,S-Oil,1.9876455847388481,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2034,S-Oil,1.9718473287923113,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2035,S-Oil,1.9560490728457742,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2036,S-Oil,1.9243389044350996,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2037,S-Oil,1.8925150795068242,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2038,S-Oil,1.8608049110961493,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2039,S-Oil,1.8290947426854747,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2040,S-Oil,1.7972709177571988,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2041,S-Oil,1.7814726618106622,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2042,S-Oil,1.7655607493465242,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2043,S-Oil,1.7496488368823864,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2044,S-Oil,1.7338505809358495,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2045,S-Oil,0.5006989072413291,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2046,S-Oil,0.47965396962793927,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2047,S-Oil,0.45860903201454933,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2048,S-Oil,0.30628295773622466,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2049,S-Oil,0.19030480542413103,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
