scenario,year,region,bau_emissions_tco2,emissions_tco2,abatement_tco2,abatement_mt,capex_usd,total_cost_usd,annual_capex_usd,annual_opex_usd,annual_new_energy_usd,annual_fuel_savings_usd,elec_demand_mwh,h2_demand_t
shaheen_ncc_h2_rising_coupled,2044,Ulsan,22130929.276215024,7341441.42856854,9980874.928963006,9.980874928963006,1614346999.9999998,7695941325.296464,65006647.999999985,57183818.99999999,8453908993.533066,880158135.2366017,25849330.129643198,833658.0
shaheen_ncc_h2_rising_coupled,2044,Other,432184.00829651015,127668.07709040718,120152.666695047,0.120152666695047,106839599.99999999,129903824.2604273,4273583.999999999,3205187.9999999995,164648665.37646273,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_rising_coupled,2045,Daesan,19800108.505871844,1453414.230453492,14969363.665643487,14.969363665643487,1944751200.0,12068739219.684362,77790048.0,72605646.75,12895686113.48749,977342588.5531261,20763060.435049877,1391523.0
shaheen_ncc_h2_rising_coupled,2045,Yeosu,25771247.357066404,3785218.749781198,16175041.852220267,16.175041852220268,2029227900.0,13067450883.54211,81169116.0,76516256.25,13930400374.145063,1020634862.8529525,26827880.110600557,1525797.0
shaheen_ncc_h2_rising_coupled,2045,Ulsan,22130929.276215024,6168057.632599945,10994565.20252807,10.99456520252807,1671936700.0,8542376388.248036,67302508.0,59627235.5,9341064381.308605,925617736.560568,26093759.898655202,923818.0
shaheen_ncc_h2_rising_coupled,2045,Other,432184.00829651015,106390.06424200597,134098.0497049403,0.1340980497049403,104810999.99999999,133308400.18089996,4192439.9999999995,3144329.9999999995,168195243.29693538,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_rising_coupled,2046,Daesan,19800108.505871844,1162731.3843627933,15130859.002070665,15.130859002070665,1899928800.0,12227140190.737564,75997152.0,70913094.0,13057572533.290688,977342588.5531261,20763060.435049877,1391523.0
shaheen_ncc_h2_rising_coupled,2046,Yeosu,25771247.357066404,3409628.4282327895,16328353.991880944,16.328353991880945,1982077440.0,13236843719.800724,79283097.6,74720293.19999999,14103475191.853676,1020634862.8529525,26827880.110600557,1525797.0
shaheen_ncc_h2_rising_coupled,2046,Ulsan,22130929.276215024,4929621.575176177,12078062.396923702,12.078062396923702,1731458399.9999998,9458116171.89733,69675647.99999999,62147931.99999999,10300617044.162146,974324452.2648176,26355648.93688235,1020418.0
shaheen_ncc_h2_rising_coupled,2046,Other,432184.00829651015,85112.05139360478,148043.4327148336,0.14804343271483358,102782399.99999999,136722692.7532095,4111295.9999999995,3083471.9999999995,171751537.86924496,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_rising_coupled,2047,Daesan,19800108.505871844,872048.5382720951,15292354.338497845,15.292354338497846,1855106400.0,12381445062.206701,74204256.0,69220541.25,13215362853.509827,977342588.5531261,20763060.435049877,1391523.0
shaheen_ncc_h2_rising_coupled,2047,Yeosu,25771247.357066404,3034038.106684382,16481666.131541621,16.481666131541623,1934926980.0,13401757317.566183,77397079.19999999,72924330.15,14272070771.069138,1020634862.8529525,26827880.110600557,1525797.0
shaheen_ncc_h2_rising_coupled,2047,Ulsan,22130929.276215024,2339441.4977694578,14571702.160780866,14.571702160780866,1930567099.9999998,11622347276.53686,77632267.99999999,70252108.49999999,12572177698.752443,1097714798.7155833,27019101.16705779,1265138.0
shaheen_ncc_h2_rising_coupled,2047,Other,432184.00829651015,63834.03854520359,161988.81572472685,0.16198881572472684,100753799.99999999,140127268.67368215,4030151.9999999995,3022613.9999999995,175298115.7897176,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_rising_coupled,2048,Daesan,19800108.505871844,581365.6921813966,15453849.674925026,15.453849674925026,1810284000.0,12533075597.1656,72411360.0,67527988.5,13370478837.218727,977342588.5531261,20763060.435049877,1391523.0
shaheen_ncc_h2_rising_coupled,2048,Yeosu,25771247.357066404,766934.1417096391,18607467.705478083,18.607467705478083,2084929070.0,15310358123.10764,83397162.8,79014469.1,16273219614.965221,1125273123.757582,27390505.061058544,1733326.0
shaheen_ncc_h2_rising_coupled,2048,Ulsan,22130929.276215024,1961174.0814306487,14764494.96126357,14.76449496126357,1884955800.0,11771160001.549145,75800088.0,68567484.99999999,12724507227.26473,1097714798.7155833,27019101.16705779,1265138.0
shaheen_ncc_h2_rising_coupled,2048,Other,432184.00829651015,42556.02569680239,175934.19873462015,0.17593419873462016,98725199.99999999,143541561.2459917,3949007.9999999995,2961755.9999999995,178854410.36202717,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_rising_coupled,2049,Daesan,19800108.505871844,290682.8460906983,15615345.011352204,15.615345011352204,1765461600.0,12680734542.079006,70618464.0,65835435.74999999,13521623230.88213,977342588.5531261,20763060.435049877,1391523.0
shaheen_ncc_h2_rising_coupled,2049,Yeosu,25771247.357066404,383467.07085481955,18771435.17550373,18.77143517550373,2032590385.0,15486966883.887894,81303615.4,77010977.05,16453925415.195477,1125273123.757582,27390505.061058544,1733326.0
shaheen_ncc_h2_rising_coupled,2049,Ulsan,22130929.276215024,1582906.6650918394,14957287.76174627,14.95728776174627,1839344500.0,11916330976.331041,73967907.99999999,66882861.49999999,12873195005.546625,1097714798.7155833,27019101.16705779,1265138.0
shaheen_ncc_h2_rising_coupled,2049,Other,432184.00829651015,21278.012848401195,189879.58174451347,0.18987958174451347,96696599.99999999,146946137.16646436,3867863.9999999995,2900897.9999999995,182400988.2824998,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_rising_coupled,2050,Daesan,19800108.505871844,0.0,15776840.347779384,15.776840347779384,1720639200.0,12825593714.320595,68825568.0,64142883.0,13669967851.873722,977342588.5531261,20763060.435049877,1391523.0
shaheen_ncc_h2_rising_coupled,2050,Yeosu,25771247.357066404,0.0,18935402.645529386,18.935402645529386,1980251700.0,15660067432.620958,79210068.0,75007485.0,16631123003.37854,1125273123.757582,27390505.061058544,1733326.0
shaheen_ncc_h2_rising_coupled,2050,Ulsan,22130929.276215024,0.0,16588756.489553513,16.588756489553514,1934286200.0,13400788968.10128,77757847.99999999,70820357.99999999,14400255833.711256,1148045071.6099744,27289719.839892507,1421308.0
shaheen_ncc_h2_rising_coupled,2050,Other,432184.00829651015,0.0,203824.96475440674,0.20382496475440673,94667999.99999999,150360429.7387739,3786719.9999999995,2840039.9999999995,185957282.85480934,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_rising_decoupled,2025,Daesan,17217485.657279864,17217485.657279864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9752183.842566231,0.0
shaheen_ncc_h2_rising_decoupled,2025,Yeosu,22409780.310492523,22409780.310492523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15277933.230763266,0.0
shaheen_ncc_h2_rising_decoupled,2025,Ulsan,19244286.3271435,19244286.3271435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13261121.675682966,0.0
shaheen_ncc_h2_rising_decoupled,2025,Other,375812.18112740014,375812.18112740014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476689.4581816963,0.0
shaheen_ncc_h2_rising_decoupled,2026,Daesan,19800108.505871844,12587546.072320633,7023134.455457606,7.0231344554576065,1291542000.0,3527251809.357283,51661680.0,51661680.0,3841697352.2236986,417768902.8664156,13450231.625382759,768775.0
shaheen_ncc_h2_rising_decoupled,2026,Yeosu,25771247.357066404,22144201.46478649,3324038.506666847,3.324038506666847,611284800.0,1669442741.182714,24451392.0,24451392.0,1818269322.7278657,197729365.5451517,18627549.428264745,363860.0
shaheen_ncc_h2_rising_decoupled,2026,Ulsan,22130929.276215024,20707103.558481306,1160524.5669330454,1.1605245669330453,241886399.99999997,442614083.7135992,10309151.999999998,9041760.0,581551248.7247691,158288077.0111698,16046915.406726412,106259.99999999999
shaheen_ncc_h2_rising_decoupled,2026,Other,432184.00829651015,422645.4522382944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548192.8769089505,0.0
shaheen_ncc_h2_rising_decoupled,2027,Daesan,19800108.505871844,12353512.042038975,7067740.507645668,7.067740507645668,1237727750.0,3465350359.810758,49509110.0,49509110.0,3784101042.6771736,417768902.8664156,13450231.625382759,768775.0
shaheen_ncc_h2_rising_decoupled,2027,Yeosu,25771247.357066404,20490096.20739269,4677290.053227291,4.677290053227291,819103600.0,2293299923.9794755,32764144.0,32764144.0,2504242784.263847,276471148.2843714,19048847.47764452,508760.0
shaheen_ncc_h2_rising_decoupled,2027,Ulsan,22130929.276215024,20427887.23040426,1176439.7442094078,1.176439744209408,232129799.99999997,435652608.3944714,9895704.0,8674680.0,575370301.4056412,158288077.0111698,16046915.406726412,106259.99999999999
shaheen_ncc_h2_rising_decoupled,2027,Other,432184.00829651015,413106.8961800786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548192.8769089505,0.0
shaheen_ncc_h2_rising_decoupled,2028,Daesan,19800108.505871844,12119478.011757314,7112346.55983373,7.112346559833729,1183913500.0,3404534478.2912974,47356540.0,47356540.0,3727590301.157713,417768902.8664156,13450231.625382759,768775.0
shaheen_ncc_h2_rising_decoupled,2028,Yeosu,25771247.357066404,20158646.261281677,4706809.451115098,4.706809451115098,783490400.0,2253053183.539372,31339616.0,31339616.0,2466845099.8237433,276471148.2843714,19048847.47764452,508760.0
shaheen_ncc_h2_rising_decoupled,2028,Ulsan,22130929.276215024,18811354.41892602,2532901.9170565256,2.5329019170565257,445519199.99999994,1070538419.3105943,18408095.999999996,17233439.999999996,1271926743.060984,237029859.75038946,16468213.456106188,251159.99999999994
shaheen_ncc_h2_rising_decoupled,2028,Other,432184.00829651015,403568.34012186277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548192.8769089505,0.0
shaheen_ncc_h2_rising_decoupled,2029,Daesan,19800108.505871844,11885443.981475657,7156952.612021791,7.156952612021791,1130099250.0,3343477143.6947727,45203970.0,45203970.0,3670838106.5611887,417768902.8664156,13450231.625382759,768775.0
shaheen_ncc_h2_rising_decoupled,2029,Yeosu,25771247.357066404,19827196.315170657,4736328.849002904,4.736328849002904,747877199.9999999,2212646654.2566457,29915088.0,29915088.0,2429287626.541017,276471148.2843714,19048847.47764452,508760.0
shaheen_ncc_h2_rising_decoupled,2029,Ulsan,22130929.276215024,18524807.50478977,2557224.517781947,2.557224517781947,425619599.99999994,1052185428.7517029,17588927.999999996,16460639.999999996,1255165720.5020924,237029859.75038946,16468213.456106188,251159.99999999994
shaheen_ncc_h2_rising_decoupled,2029,Other,432184.00829651015,394029.7840636471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548192.8769089505,0.0
shaheen_ncc_h2_rising_decoupled,2030,Daesan,19800108.505871844,11651409.951193996,7201558.664209853,7.201558664209853,1076285000.0,3283572260.550313,43051400.0,43051400.0,3615238363.416729,417768902.8664156,13450231.625382759,768775.0
shaheen_ncc_h2_rising_decoupled,2030,Yeosu,25771247.357066404,19495746.36905965,4765848.246890711,4.765848246890711,712263999.9999999,2173002794.416542,28490560.0,28490560.0,2392492822.7009134,276471148.2843714,19048847.47764452,508760.0
shaheen_ncc_h2_rising_decoupled,2030,Ulsan,22130929.276215024,15534305.279614286,5296270.803445114,5.296270803445114,811439999.9999999,2272000224.510943,32998559.999999996,31916639.999999996,2601598449.739772,394513425.22882885,17310809.554865744,540959.9999999999
shaheen_ncc_h2_rising_decoupled,2030,Other,432184.00829651015,384491.2280054315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548192.8769089505,0.0
shaheen_ncc_h2_rising_decoupled,2031,Daesan,19800108.505871844,11464451.731601175,7237192.234635949,7.237192234635949,1057065624.9999999,3259784369.178788,42282625.0,42282625.0,3592988022.045204,417768902.8664156,13450231.625382759,768775.0
shaheen_ncc_h2_rising_decoupled,2031,Yeosu,25771247.357066404,15783578.499278493,8252672.611014187,8.252672611014187,1205386874.9999998,3717178196.8960214,48215475.0,48215475.0,4097135032.468301,476387785.57227916,20118476.414125398,876645.0
shaheen_ncc_h2_rising_decoupled,2031,Ulsan,22130929.276215024,15293685.026801653,5329133.4771213895,5.329133477121389,797143199.9999999,2256979704.352523,32418959.999999996,31352495.999999996,2587721673.5813518,394513425.22882885,17310809.554865744,540959.9999999999
shaheen_ncc_h2_rising_decoupled,2031,Other,432184.00829651015,376871.34701639693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548192.8769089505,0.0
shaheen_ncc_h2_rising_decoupled,2032,Daesan,19800108.505871844,11277493.512008352,7272825.8050620435,7.272825805062044,1037846249.9999999,3236117233.209328,41513850.0,41513850.0,3570858436.0757437,417768902.8664156,13450231.625382759,768775.0
